Image,Caption,Rights
urn:cite:bnf:gr2706img.bnf2706_img75,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 33 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img76,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 33 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img77,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 34 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img78,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 34 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img79,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 35 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img80,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 35 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img81,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 36 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img82,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 36 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img83,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 37 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img84,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 37 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img85,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 38 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img86,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 38 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img87,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 39 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img88,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 39 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img89,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 40 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img90,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 40 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img91,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 41 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img92,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 41 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img93,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 42 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img94,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 42 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img95,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 43 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img96,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 43 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img97,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 44 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
